Index,t/s,Ts/Cel,Tr/Cel,Value/(Wg^-1)
0,0,200.001,200.000,0.00356993
1,1,199.008,199.000,0.026541
2,2,198.014,198.000,0.0475368
3,3,197.019,197.000,0.0652981
4,4,196.021,196.000,0.0726403
5,5,195.024,195.000,0.0829236
6,6,194.030,194.000,0.103743
7,7,193.039,193.000,0.133735
8,8,192.053,192.000,0.180454
9,9,191.067,191.000,0.22973
10,10,190.081,190.000,0.279066
11,11,189.095,189.000,0.327361
12,12,188.108,188.000,0.37107
13,13,187.119,187.000,0.412214
14,14,186.130,186.000,0.45046
15,15,185.140,185.000,0.486852
16,16,184.149,184.000,0.518962
17,17,183.157,183.000,0.549021
18,18,182.165,182.000,0.576731
19,19,181.172,181.000,0.602868
20,20,180.178,180.000,0.625503
21,21,179.184,179.000,0.646491
22,22,178.189,178.000,0.665703
23,23,177.193,177.000,0.683782
24,24,176.197,176.000,0.699143
25,25,175.201,175.000,0.71334
26,26,174.204,174.000,0.726081
27,27,173.206,173.000,0.73791
28,28,172.209,172.000,0.747954
29,29,171.211,171.000,0.757023
30,30,170.212,170.000,0.765187
31,31,169.214,169.000,0.772738
32,32,168.215,168.000,0.778604
33,33,167.216,167.000,0.784109
34,34,166.217,166.000,0.788803
35,35,165.217,165.000,0.792925
36,36,164.218,164.000,0.79631
37,37,163.218,163.000,0.799342
38,38,162.218,162.000,0.801913
39,39,161.218,161.000,0.804179
40,40,160.218,160.000,0.805812
41,41,159.218,159.000,0.807224
42,42,158.218,158.000,0.808334
43,43,157.217,157.000,0.809254
44,44,156.217,156.000,0.809653
45,45,155.216,155.000,0.809841
46,46,154.216,154.000,0.809817
47,47,153.215,153.000,0.809762
48,48,152.214,152.000,0.809232
49,49,151.214,151.000,0.808529
50,50,150.213,150.000,0.807733
51,51,149.212,149.000,0.806885
52,52,148.211,148.000,0.805598
53,53,147.210,147.000,0.804158
54,54,146.209,146.000,0.802516
55,55,145.208,145.000,0.800802
56,56,144.207,144.000,0.798887
57,57,143.206,143.000,0.796788
58,58,142.205,142.000,0.794305
59,59,141.203,141.000,0.791337
60,60,140.202,140.000,0.787948
61,61,139.200,139.000,0.78441
62,62,138.199,138.000,0.780701
63,63,137.197,137.000,0.77696
64,64,136.196,136.000,0.773178
65,65,135.194,135.000,0.769382
66,66,134.192,134.000,0.765493
67,67,133.191,133.000,0.761545
68,68,132.189,132.000,0.757352
69,69,131.188,131.000,0.753141
70,70,130.186,130.000,0.748916
71,71,129.184,129.000,0.744593
72,72,128.183,128.000,0.740128
73,73,127.181,127.000,0.735486
74,74,126.179,126.000,0.730483
75,75,125.177,125.000,0.725033
76,76,124.175,124.000,0.719361
77,77,123.173,123.000,0.7138
78,78,122.172,122.000,0.708242
79,79,121.170,121.000,0.702586
80,80,120.168,120.000,0.696511
81,81,119.165,119.000,0.690062
82,82,118.163,118.000,0.683762
83,83,117.162,117.000,0.677943
84,84,116.160,116.000,0.672581
85,85,115.158,115.000,0.667127
86,86,114.156,114.000,0.661641
87,87,113.154,113.000,0.656132
88,88,112.152,112.000,0.650524
