ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_kJ_per_mol
1,One-step 70C,70,60.0000,10.0000,0.1002,50s,103.0706,20257.5625
2,One-step 70C,70,60.0000,10.0000,0.4998,50s,103.0381,20220.5455
3,One-step 70C,70,60.0000,10.0000,0.7980,50s,103.0347,20114.5384
4,One-step 70C,70,60.0000,10.0000,1.0002,50s,102.9934,20020.9948
5,One-step 70C,70,60.0000,10.0000,4.9980,50s,103.0730,19764.0762
6,One-step 70C,70,60.0000,10.0000,10.0200,50s,103.0711,19590.4632
7,One-step 70C,70,60.0000,10.0000,49.9800,50s,103.0958,19537.6399
8,One-step 70C,70,60.0000,10.0000,100.0200,50s,103.1285,19403.8612
9,One-step 70C,70,60.0000,10.0000,499.9800,50s,103.1649,19341.4893
10,One-step 70C,70,60.0000,10.0000,1000.0200,50s,103.1140,19274.6117
11,One-step 70C,70,60.0000,10.0000,0.1002,500s,103.1955,19089.3371
12,One-step 70C,70,60.0000,10.0000,0.4998,500s,103.1891,18994.0491
13,One-step 70C,70,60.0000,10.0000,0.7980,500s,103.2172,19015.9670
14,One-step 70C,70,60.0000,10.0000,1.0002,500s,103.2171,18962.0675
15,One-step 70C,70,60.0000,10.0000,4.9980,500s,103.2279,18897.0382
16,One-step 70C,70,60.0000,10.0000,10.0200,500s,103.2280,18848.2655
17,One-step 70C,70,60.0000,10.0000,49.9800,500s,103.2317,18849.9529
18,One-step 70C,70,60.0000,10.0000,100.0200,500s,103.2403,18855.5590
19,One-step 70C,70,60.0000,10.0000,499.9800,500s,103.2171,18868.2832
20,One-step 70C,70,60.0000,10.0000,1000.0200,500s,103.2228,18872.1650
