ramp,experiment,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_cool_rate_K_per_min,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,T1_group,T_onset_C,delta_H_kJ_per_mol
1,Two-step,90.0000,80.0000,49.9800,0.1002,60.0000,60.0000,10.0000,50s,103.4258,20130.3491
2,Two-step,90.0000,80.0000,49.9800,0.4998,60.0000,60.0000,10.0000,50s,103.3873,20087.8642
3,Two-step,90.0000,80.0000,49.9800,0.7980,60.0000,60.0000,10.0000,50s,103.3495,20050.7611
4,Two-step,90.0000,80.0000,49.9800,1.0002,60.0000,60.0000,10.0000,50s,103.3044,19978.2754
5,Two-step,90.0000,80.0000,49.9800,4.9980,60.0000,60.0000,10.0000,50s,103.3393,19930.6876
6,Two-step,90.0000,80.0000,49.9800,10.0200,60.0000,60.0000,10.0000,50s,103.3362,19856.4884
7,Two-step,90.0000,80.0000,49.9800,49.9800,60.0000,60.0000,10.0000,50s,103.2945,19841.9777
8,Two-step,90.0000,80.0000,49.9800,100.0200,60.0000,60.0000,10.0000,50s,103.2982,19807.7998
9,Two-step,90.0000,80.0000,49.9800,499.9800,60.0000,60.0000,10.0000,50s,103.0079,19690.8602
10,Two-step,90.0000,80.0000,49.9800,1000.0200,60.0000,60.0000,10.0000,50s,102.5693,19496.7682
11,Two-step,90.0000,80.0000,499.9800,0.1002,60.0000,60.0000,10.0000,500s,102.0195,19217.4293
12,Two-step,90.0000,80.0000,499.9800,0.4998,60.0000,60.0000,10.0000,500s,102.0113,19205.4064
13,Two-step,90.0000,80.0000,499.9800,0.7980,60.0000,60.0000,10.0000,500s,102.0056,19200.1954
14,Two-step,90.0000,80.0000,499.9800,1.0002,60.0000,60.0000,10.0000,500s,101.9869,19148.3708
15,Two-step,90.0000,80.0000,499.9800,4.9980,60.0000,60.0000,10.0000,500s,101.9827,19137.1314
16,Two-step,90.0000,80.0000,499.9800,10.0200,60.0000,60.0000,10.0000,500s,101.9762,19132.7044
17,Two-step,90.0000,80.0000,499.9800,49.9800,60.0000,60.0000,10.0000,500s,101.9363,19142.2774
18,Two-step,90.0000,80.0000,499.9800,100.0200,60.0000,60.0000,10.0000,500s,101.9039,19141.1588
19,Two-step,90.0000,80.0000,499.9800,499.9800,60.0000,60.0000,10.0000,500s,101.7413,19061.5645
20,Two-step,90.0000,80.0000,499.9800,1000.0200,60.0000,60.0000,10.0000,500s,101.6373,19013.2361
