ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_J_per_g
1,One-step 50C,50,60.0000,10.0000,0.1002,50s,103.4133,0.0000
2,One-step 50C,50,60.0000,10.0000,0.4998,50s,103.3819,0.2870
3,One-step 50C,50,60.0000,10.0000,0.7980,50s,103.3666,0.4007
4,One-step 50C,50,60.0000,10.0000,1.0002,50s,103.3612,0.5353
5,One-step 50C,50,60.0000,10.0000,4.9980,50s,103.3685,0.7078
6,One-step 50C,50,60.0000,10.0000,10.0200,50s,103.3317,0.7836
7,One-step 50C,50,60.0000,10.0000,49.9800,50s,103.3348,0.8671
8,One-step 50C,50,60.0000,10.0000,100.0200,50s,103.3239,0.9372
9,One-step 50C,50,60.0000,10.0000,499.9800,50s,103.3351,0.9997
10,One-step 50C,50,60.0000,10.0000,1000.0200,50s,103.3248,1.0183
11,One-step 50C,50,60.0000,10.0000,0.1002,500s,103.3309,1.0827
12,One-step 50C,50,60.0000,10.0000,0.4998,500s,103.3006,1.1223
13,One-step 50C,50,60.0000,10.0000,0.7980,500s,103.3188,1.1509
14,One-step 50C,50,60.0000,10.0000,1.0002,500s,103.3128,1.2014
15,One-step 50C,50,60.0000,10.0000,4.9980,500s,103.2964,1.2601
16,One-step 50C,50,60.0000,10.0000,10.0200,500s,103.2849,1.4723
17,One-step 50C,50,60.0000,10.0000,49.9800,500s,103.2813,1.5053
18,One-step 50C,50,60.0000,10.0000,100.0200,500s,103.2288,1.5464
19,One-step 50C,50,60.0000,10.0000,499.9800,500s,103.2623,1.6677
20,One-step 50C,50,60.0000,10.0000,1000.0200,500s,103.3046,2.0268
