ramp,experiment,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_cool_rate_K_per_min,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,T1_group,T_onset_C,delta_H_J_per_g
1,Two-step,90.0000,80.0000,49.9800,0.1002,60.0000,60.0000,10.0000,50s,103.4258,0.0000
2,Two-step,90.0000,80.0000,49.9800,0.4998,60.0000,60.0000,10.0000,50s,103.3873,0.2014
3,Two-step,90.0000,80.0000,49.9800,0.7980,60.0000,60.0000,10.0000,50s,103.3495,0.2770
4,Two-step,90.0000,80.0000,49.9800,1.0002,60.0000,60.0000,10.0000,50s,103.3044,0.3883
5,Two-step,90.0000,80.0000,49.9800,4.9980,60.0000,60.0000,10.0000,50s,103.3393,0.4738
6,Two-step,90.0000,80.0000,49.9800,10.0200,60.0000,60.0000,10.0000,50s,103.3362,0.6021
7,Two-step,90.0000,80.0000,49.9800,49.9800,60.0000,60.0000,10.0000,50s,103.2945,0.6087
8,Two-step,90.0000,80.0000,49.9800,100.0200,60.0000,60.0000,10.0000,50s,103.2982,0.6472
9,Two-step,90.0000,80.0000,49.9800,499.9800,60.0000,60.0000,10.0000,50s,103.0079,1.0411
10,Two-step,90.0000,80.0000,49.9800,1000.0200,60.0000,60.0000,10.0000,50s,102.5693,1.8531
11,Two-step,90.0000,80.0000,499.9800,0.1002,60.0000,60.0000,10.0000,500s,102.0195,2.9654
12,Two-step,90.0000,80.0000,499.9800,0.4998,60.0000,60.0000,10.0000,500s,102.0113,2.9853
13,Two-step,90.0000,80.0000,499.9800,0.7980,60.0000,60.0000,10.0000,500s,102.0056,2.9968
14,Two-step,90.0000,80.0000,499.9800,1.0002,60.0000,60.0000,10.0000,500s,101.9869,3.1765
15,Two-step,90.0000,80.0000,499.9800,4.9980,60.0000,60.0000,10.0000,500s,101.9827,3.1858
16,Two-step,90.0000,80.0000,499.9800,10.0200,60.0000,60.0000,10.0000,500s,101.9762,3.1871
17,Two-step,90.0000,80.0000,499.9800,49.9800,60.0000,60.0000,10.0000,500s,101.9363,3.1646
18,Two-step,90.0000,80.0000,499.9800,100.0200,60.0000,60.0000,10.0000,500s,101.9039,3.1533
19,Two-step,90.0000,80.0000,499.9800,499.9800,60.0000,60.0000,10.0000,500s,101.7413,3.4645
20,Two-step,90.0000,80.0000,499.9800,1000.0200,60.0000,60.0000,10.0000,500s,101.6373,3.6496
