ramp,group,T1_hold_s,T2_hold_s,T1_hold_min,T2_hold_min,delta_H_kJmol
1,A,49.980000,0.100200,0.833000,0.001670,0.000000
2,A,49.980000,0.499800,0.833000,0.008330,73.575167
3,A,49.980000,0.798000,0.833000,0.013300,265.212233
4,A,49.980000,1.000200,0.833000,0.016670,431.696261
5,A,49.980000,4.998000,0.833000,0.083300,572.437335
6,A,49.980000,10.020000,0.833000,0.167000,704.972596
7,A,49.980000,49.980000,0.833000,0.833000,767.188233
8,A,49.980000,100.020000,0.833000,1.667000,840.899941
9,A,49.980000,499.980000,0.833000,8.333000,892.657301
10,A,49.980000,1000.020000,0.833000,16.667000,908.003501
11,B,499.980000,0.100200,8.333000,0.001670,0.000000
12,B,499.980000,0.499800,8.333000,0.008330,72.160812
13,B,499.980000,0.798000,8.333000,0.013300,86.286317
14,B,499.980000,1.000200,8.333000,0.016670,76.916859
15,B,499.980000,4.998000,8.333000,0.083300,79.970817
16,B,499.980000,10.020000,8.333000,0.167000,105.233736
17,B,499.980000,49.980000,8.333000,0.833000,125.869702
18,B,499.980000,100.020000,8.333000,1.667000,121.416716
19,B,499.980000,499.980000,8.333000,8.333000,115.354876
20,B,499.980000,1000.020000,8.333000,16.667000,59.962475
