ramp,T1_hold_s,T2_hold_s,T_onset_C,delta_H_kJmol,overshoot_peak_uW
1,49.9800,0.1002,103.5885,1.0000,194.6527
2,49.9800,0.4998,103.5677,52.4292,196.3046
3,49.9800,0.7980,103.5402,195.5097,198.4082
4,49.9800,1.0002,103.5199,311.8256,198.2439
5,49.9800,4.9980,103.4475,450.1520,200.4197
6,49.9800,10.0200,103.4631,552.6261,201.7544
7,49.9800,49.9800,103.2097,670.4745,208.3827
8,49.9800,100.0200,102.8848,893.4373,215.6992
9,49.9800,499.9800,101.8618,1392.8947,227.8072
10,49.9800,1000.0200,101.7921,1471.6769,218.9357
11,499.9800,0.1002,103.1276,920.0851,218.1509
12,499.9800,0.4998,103.1232,974.3994,219.2442
13,499.9800,0.7980,103.1313,989.9477,219.0029
14,499.9800,1.0002,103.1168,978.2748,219.9153
15,499.9800,4.9980,103.0729,1023.6066,220.9825
16,499.9800,10.0200,103.0602,1043.6816,221.8707
17,499.9800,49.9800,102.8411,1146.6992,224.9411
18,499.9800,100.0200,102.5567,1270.8270,228.8820
19,499.9800,499.9800,101.7216,1646.6955,234.6397
20,499.9800,1000.0200,101.6548,1712.8626,226.6384
