ramp,run,hold_s,hold_min,T_onset,delta_H_dyn_kJmol,delta_H_fixed_kJmol
1,R1,0.100200,0.001670,119.614738,-35583.793250,-25692.016176
2,R1,0.499800,0.008330,117.653229,-34499.406684,-25631.233720
3,R1,0.798000,0.013300,116.147575,-33658.781921,-25578.404595
4,R1,1.000200,0.016670,119.811501,-35422.555807,-25497.750817
5,R1,4.998000,0.083300,120.517220,-35662.167428,-25391.821274
6,R1,10.020000,0.167000,113.201233,-31880.881594,-25334.725535
7,R1,49.980000,0.833000,117.436974,-33971.378713,-25294.025259
8,R1,100.020000,1.667000,140.000000,-45599.876489,-25259.978424
9,R1,499.980000,8.333000,118.167946,-34221.360530,-25200.588595
10,R1,1000.020000,16.667000,120.695961,-35460.421848,-25161.493818
11,R2,0.100200,0.001670,118.917984,-34533.115862,-25143.591559
12,R2,0.499800,0.008330,113.880806,-31965.127639,-25119.897745
13,R2,0.798000,0.013300,119.564392,-34803.450936,-25100.533955
14,R2,1.000200,0.016670,110.816719,-30378.780630,-25069.439306
15,R2,4.998000,0.083300,111.187103,-30518.575225,-25037.287012
16,R2,10.020000,0.167000,119.542206,-34673.547430,-25014.154431
17,R2,49.980000,0.833000,111.053360,-30422.019101,-25010.640244
18,R2,100.020000,1.667000,110.376518,-30066.455659,-25000.170388
19,R2,499.980000,8.333000,110.968536,-30269.137839,-24924.903299
20,R2,1000.020000,16.667000,118.731949,-33712.337830,-24571.776338
