ramp,run,hold_s,hold_min,delta_H_kJmol
1,R1,0.100200,0.001670,0.000000
2,R1,0.499800,0.008330,42.010142
3,R1,0.798000,0.013300,136.917597
4,R1,1.000200,0.016670,218.012136
5,R1,4.998000,0.083300,426.296853
6,R1,10.020000,0.167000,579.680471
7,R1,49.980000,0.833000,667.108041
8,R1,100.020000,1.667000,797.928005
9,R1,499.980000,8.333000,840.660278
10,R1,1000.020000,16.667000,886.763042
11,R2,0.100200,0.001670,0.000000
12,R2,0.499800,0.008330,30.819379
13,R2,0.798000,0.013300,22.758399
14,R2,1.000200,0.016670,69.859660
15,R2,4.998000,0.083300,143.943976
16,R2,10.020000,0.167000,181.836609
17,R2,49.980000,0.833000,197.362084
18,R2,100.020000,1.667000,191.316230
19,R2,499.980000,8.333000,188.026015
20,R2,1000.020000,16.667000,182.010785
