ramp,hold_s,T_onset_C,delta_H_kJmol
1,0.1002,103.0706,1.0000
2,0.4998,103.0381,38.0170
3,0.7980,103.0347,144.0241
4,1.0002,102.9934,237.5677
5,4.9980,103.0730,494.4863
6,10.0200,103.0711,668.0993
7,49.9800,103.0958,720.9226
8,100.0200,103.1285,854.7013
9,499.9800,103.1649,917.0732
10,1000.0200,103.1140,983.9509
11,0.1002,103.1955,1169.2254
12,0.4998,103.1891,1264.5134
13,0.7980,103.2172,1242.5955
14,1.0002,103.2171,1296.4950
15,4.9980,103.2279,1361.5243
16,10.0200,103.2280,1410.2970
17,49.9800,103.2317,1408.6096
18,100.0200,103.2403,1403.0035
19,499.9800,103.2171,1390.2793
20,1000.0200,103.2228,1386.3976
