ramp,group,T1_hold_s,T2_hold_s,T1_hold_min,T2_hold_min,delta_H_kJmol
1,A,49.980000,0.100200,0.833000,0.001670,0.000000
2,A,49.980000,0.499800,0.833000,0.008330,24.872073
3,A,49.980000,0.798000,0.833000,0.013300,65.510216
4,A,49.980000,1.000200,0.833000,0.016670,135.370414
5,A,49.980000,4.998000,0.833000,0.083300,179.353218
6,A,49.980000,10.020000,0.833000,0.167000,240.600439
7,A,49.980000,49.980000,0.833000,0.833000,254.875743
8,A,49.980000,100.020000,0.833000,1.667000,285.829033
9,A,49.980000,499.980000,0.833000,8.333000,245.970271
10,A,49.980000,1000.020000,0.833000,16.667000,228.000851
11,B,499.980000,0.100200,8.333000,0.001670,0.000000
12,B,499.980000,0.499800,8.333000,0.008330,10.942790
13,B,499.980000,0.798000,8.333000,0.013300,15.504278
14,B,499.980000,1.000200,8.333000,0.016670,23.165805
15,B,499.980000,4.998000,8.333000,0.083300,26.318619
16,B,499.980000,10.020000,8.333000,0.167000,23.241656
17,B,499.980000,49.980000,8.333000,0.833000,14.895724
18,B,499.980000,100.020000,8.333000,1.667000,12.019432
19,B,499.980000,499.980000,8.333000,8.333000,-14.017155
20,B,499.980000,1000.020000,8.333000,16.667000,-29.986816
