ramp,T1_hold_s,T2_hold_s,T_onset_C,delta_H_kJmol
1,49.9800,0.1002,103.4258,1.0000
2,49.9800,0.4998,103.3873,43.4848
3,49.9800,0.7980,103.3495,80.5880
4,49.9800,1.0002,103.3044,153.0737
5,49.9800,4.9980,103.3393,200.6614
6,49.9800,10.0200,103.3362,274.8607
7,49.9800,49.9800,103.2945,289.3713
8,49.9800,100.0200,103.2982,323.5493
9,49.9800,499.9800,103.0079,440.4889
10,49.9800,1000.0200,102.5693,634.5809
11,499.9800,0.1002,102.0195,913.9198
12,499.9800,0.4998,102.0113,925.9427
13,499.9800,0.7980,102.0056,931.1537
14,499.9800,1.0002,101.9869,982.9783
15,499.9800,4.9980,101.9827,994.2176
16,499.9800,10.0200,101.9762,998.6447
17,499.9800,49.9800,101.9363,989.0717
18,499.9800,100.0200,101.9039,990.1903
19,499.9800,499.9800,101.7413,1069.7846
20,499.9800,1000.0200,101.6373,1118.1130
