ramp,experiment,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_group,T_onset_C,delta_H_J_per_g
1,Kovacs,80,90,49.9800,0.1002,50s,103.5885,0.0000
2,Kovacs,80,90,49.9800,0.4998,50s,103.5677,0.1837
3,Kovacs,80,90,49.9800,0.7980,50s,103.5402,0.6949
4,Kovacs,80,90,49.9800,1.0002,50s,103.5199,1.1104
5,Kovacs,80,90,49.9800,4.9980,50s,103.4475,1.6361
6,Kovacs,80,90,49.9800,10.0200,50s,103.4631,2.0022
7,Kovacs,80,90,49.9800,49.9800,50s,103.2097,2.4861
8,Kovacs,80,90,49.9800,100.0200,50s,102.8848,3.4084
9,Kovacs,80,90,49.9800,499.9800,50s,101.8618,5.5070
10,Kovacs,80,90,49.9800,1000.0200,50s,101.7921,5.7884
11,Kovacs,80,90,499.9800,0.1002,500s,103.1276,3.4093
12,Kovacs,80,90,499.9800,0.4998,500s,103.1232,3.6033
13,Kovacs,80,90,499.9800,0.7980,500s,103.1313,3.6589
14,Kovacs,80,90,499.9800,1.0002,500s,103.1168,3.6172
15,Kovacs,80,90,499.9800,4.9980,500s,103.0729,3.8106
16,Kovacs,80,90,499.9800,10.0200,500s,103.0602,3.8823
17,Kovacs,80,90,499.9800,49.9800,500s,102.8411,4.3132
18,Kovacs,80,90,499.9800,100.0200,500s,102.5567,4.8510
19,Kovacs,80,90,499.9800,499.9800,500s,101.7216,6.4451
20,Kovacs,80,90,499.9800,1000.0200,500s,101.6548,6.7129
1,Two-step,90,80,49.9800,0.1002,50s,103.4258,0.0000
2,Two-step,90,80,49.9800,0.4998,50s,103.3873,0.1832
3,Two-step,90,80,49.9800,0.7980,50s,103.3495,0.3158
4,Two-step,90,80,49.9800,1.0002,50s,103.3044,0.5747
5,Two-step,90,80,49.9800,4.9980,50s,103.3393,0.7448
6,Two-step,90,80,49.9800,10.0200,50s,103.3362,1.0098
7,Two-step,90,80,49.9800,49.9800,50s,103.2945,1.0617
8,Two-step,90,80,49.9800,100.0200,50s,103.2982,1.1838
9,Two-step,90,80,49.9800,499.9800,50s,103.0079,1.6959
10,Two-step,90,80,49.9800,1000.0200,50s,102.5693,2.5465
11,Two-step,90,80,499.9800,0.1002,500s,102.0195,3.7015
12,Two-step,90,80,499.9800,0.4998,500s,102.0113,3.7445
13,Two-step,90,80,499.9800,0.7980,500s,102.0056,3.7631
14,Two-step,90,80,499.9800,1.0002,500s,101.9869,3.9796
15,Two-step,90,80,499.9800,4.9980,500s,101.9827,4.0198
16,Two-step,90,80,499.9800,10.0200,500s,101.9762,4.0356
17,Two-step,90,80,499.9800,49.9800,500s,101.9363,4.0014
18,Two-step,90,80,499.9800,100.0200,500s,101.9039,4.0054
19,Two-step,90,80,499.9800,499.9800,500s,101.7413,4.3526
20,Two-step,90,80,499.9800,1000.0200,500s,101.6373,4.5566
