ramp,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_group,T_onset_C,delta_H_J_per_g
1,80,90,49.9800,0.1002,50s,103.5885,0.0000
2,80,90,49.9800,0.4998,50s,103.5677,0.1837
3,80,90,49.9800,0.7980,50s,103.5402,0.6949
4,80,90,49.9800,1.0002,50s,103.5199,1.1104
5,80,90,49.9800,4.9980,50s,103.4475,1.6361
6,80,90,49.9800,10.0200,50s,103.4631,2.0022
7,80,90,49.9800,49.9800,50s,103.2097,2.4861
8,80,90,49.9800,100.0200,50s,102.8848,3.4084
9,80,90,49.9800,499.9800,50s,101.8618,5.5070
10,80,90,49.9800,1000.0200,50s,101.7921,5.7884
11,80,90,499.9800,0.1002,500s,103.1276,3.4093
12,80,90,499.9800,0.4998,500s,103.1232,3.6033
13,80,90,499.9800,0.7980,500s,103.1313,3.6589
14,80,90,499.9800,1.0002,500s,103.1168,3.6172
15,80,90,499.9800,4.9980,500s,103.0729,3.8106
16,80,90,499.9800,10.0200,500s,103.0602,3.8823
17,80,90,499.9800,49.9800,500s,102.8411,4.3132
18,80,90,499.9800,100.0200,500s,102.5567,4.8510
19,80,90,499.9800,499.9800,500s,101.7216,6.4451
20,80,90,499.9800,1000.0200,500s,101.6548,6.7129
