ramp,experiment,T_anneal_C,cooling_rate_to_glass_K_per_min,heating_rate_K_per_min,hold_s,cooling_group,T_onset_C,delta_H_J_per_g
1,One-step 50C,50,60.0000,10.0000,0.1002,50s,103.4133,0.0000
2,One-step 50C,50,60.0000,10.0000,0.4998,50s,103.3819,0.3162
3,One-step 50C,50,60.0000,10.0000,0.7980,50s,103.3666,0.4767
4,One-step 50C,50,60.0000,10.0000,1.0002,50s,103.3612,0.7017
5,One-step 50C,50,60.0000,10.0000,4.9980,50s,103.3685,0.9777
6,One-step 50C,50,60.0000,10.0000,10.0200,50s,103.3317,1.1149
7,One-step 50C,50,60.0000,10.0000,49.9800,50s,103.3348,1.2378
8,One-step 50C,50,60.0000,10.0000,100.0200,50s,103.3239,1.3450
9,One-step 50C,50,60.0000,10.0000,499.9800,50s,103.3351,1.4687
10,One-step 50C,50,60.0000,10.0000,1000.0200,50s,103.3248,1.5380
11,One-step 50C,50,60.0000,10.0000,0.1002,500s,103.3309,1.6101
12,One-step 50C,50,60.0000,10.0000,0.4998,500s,103.3006,1.6711
13,One-step 50C,50,60.0000,10.0000,0.7980,500s,103.3188,1.7215
14,One-step 50C,50,60.0000,10.0000,1.0002,500s,103.3128,1.7973
15,One-step 50C,50,60.0000,10.0000,4.9980,500s,103.2964,1.9021
16,One-step 50C,50,60.0000,10.0000,10.0200,500s,103.2849,2.0971
17,One-step 50C,50,60.0000,10.0000,49.9800,500s,103.2813,2.1384
18,One-step 50C,50,60.0000,10.0000,100.0200,500s,103.2288,2.1959
19,One-step 50C,50,60.0000,10.0000,499.9800,500s,103.2623,2.3894
20,One-step 50C,50,60.0000,10.0000,1000.0200,500s,103.3046,3.1361
