ramp,experiment,T_anneal_C,hold_s,cooling_group,T_onset_C,delta_H_J_per_g
1,One-step 70C,70,0,50s,103.0706,0.0000
2,One-step 70C,70,1,50s,103.0381,0.1322
3,One-step 70C,70,2,50s,103.0347,0.5110
4,One-step 70C,70,3,50s,102.9934,0.8452
5,One-step 70C,70,4,50s,103.0730,1.7630
6,One-step 70C,70,5,50s,103.0711,2.3833
7,One-step 70C,70,6,50s,103.0958,2.5405
8,One-step 70C,70,7,50s,103.1285,3.0185
9,One-step 70C,70,8,50s,103.1649,3.2413
10,One-step 70C,70,9,50s,103.1140,3.4802
11,One-step 70C,70,10,500s,103.1955,4.1107
12,One-step 70C,70,11,500s,103.1891,4.4825
13,One-step 70C,70,12,500s,103.2172,4.3728
14,One-step 70C,70,13,500s,103.2171,4.5653
15,One-step 70C,70,14,500s,103.2279,4.7977
16,One-step 70C,70,15,500s,103.2280,4.9719
17,One-step 70C,70,16,500s,103.2317,4.9659
18,One-step 70C,70,17,500s,103.2403,4.9459
19,One-step 70C,70,18,500s,103.2171,4.9004
20,One-step 70C,70,19,500s,103.2228,4.8865
