ramp,T1_C,T2_C,T1_hold_s,T2_hold_s,T1_group,T_onset_C,delta_H_J_per_g
1,90,80,49.9800,0.1002,50s,103.4258,0.0000
2,90,80,49.9800,0.4998,50s,103.3873,0.1832
3,90,80,49.9800,0.7980,50s,103.3495,0.3158
4,90,80,49.9800,1.0002,50s,103.3044,0.5747
5,90,80,49.9800,4.9980,50s,103.3393,0.7448
6,90,80,49.9800,10.0200,50s,103.3362,1.0098
7,90,80,49.9800,49.9800,50s,103.2945,1.0617
8,90,80,49.9800,100.0200,50s,103.2982,1.1838
9,90,80,49.9800,499.9800,50s,103.0079,1.6959
10,90,80,49.9800,1000.0200,50s,102.5693,2.5465
11,90,80,499.9800,0.1002,500s,102.0195,3.7015
12,90,80,499.9800,0.4998,500s,102.0113,3.7445
13,90,80,499.9800,0.7980,500s,102.0056,3.7631
14,90,80,499.9800,1.0002,500s,101.9869,3.9796
15,90,80,499.9800,4.9980,500s,101.9827,4.0198
16,90,80,499.9800,10.0200,500s,101.9762,4.0356
17,90,80,499.9800,49.9800,500s,101.9363,4.0014
18,90,80,499.9800,100.0200,500s,101.9039,4.0054
19,90,80,499.9800,499.9800,500s,101.7413,4.3526
20,90,80,499.9800,1000.0200,500s,101.6373,4.5566
