ramp,T1_hold_min,T2_hold_min,delta_H_Jg,cp_avg_JgK,cp_at_50C,cp_at_80C,cp_at_100C
1,0.833000,0.001670,88.754251,1.267918,1.200389,1.331531,1.538311
2,0.833000,0.008330,88.574676,1.265353,1.198397,1.328002,1.536844
3,0.833000,0.013300,88.099587,1.258566,1.192208,1.321457,1.531603
4,0.833000,0.016670,87.717091,1.253101,1.186526,1.315473,1.526502
5,0.833000,0.083300,87.389070,1.248415,1.181866,1.310359,1.524582
6,0.833000,0.167000,87.047588,1.243537,1.176988,1.304619,1.520778
7,0.833000,0.833000,86.897727,1.241396,1.174538,1.302436,1.527096
8,0.833000,1.667000,86.660000,1.238000,1.170847,1.299561,1.532247
9,0.833000,8.333000,86.259927,1.232285,1.165087,1.293924,1.541836
10,0.833000,16.667000,86.003711,1.228624,1.161471,1.292003,1.528598
11,8.333000,0.001670,86.192642,1.231323,1.161843,1.291871,1.527279
12,8.333000,0.008330,86.008388,1.228691,1.159159,1.289414,1.525996
13,8.333000,0.013300,85.955612,1.227937,1.158597,1.288884,1.525354
14,8.333000,0.016670,85.993240,1.228475,1.158364,1.289375,1.526975
15,8.333000,0.083300,85.969179,1.228131,1.158319,1.288847,1.528185
16,8.333000,0.167000,85.898546,1.227122,1.157056,1.288229,1.528219
17,8.333000,0.833000,85.800063,1.225715,1.156498,1.287252,1.531261
18,8.333000,1.667000,85.762995,1.225186,1.155821,1.286882,1.535643
19,8.333000,8.333000,85.521426,1.221735,1.153138,1.284079,1.540211
20,8.333000,16.667000,85.441930,1.220599,1.153133,1.284293,1.529979
