t_s,Tf_K
0.10000000,430.00000000
0.10115911,427.87431590
0.10233166,427.20476321
0.10351780,426.71740763
0.10471768,426.32075375
0.10593148,425.98036635
0.10715934,425.67896931
0.10840144,425.40648640
0.10965793,425.15645620
0.11092899,424.92445392
0.11221478,424.70729918
0.11351547,424.50261929
0.11483124,424.30859106
0.11616226,424.12377943
0.11750871,423.94703204
0.11887077,423.77740781
0.12024861,423.61412709
0.12164243,423.45653579
0.12305240,423.30407921
0.12447871,423.15628237
0.12592156,423.01273504
0.12738113,422.87308023
0.12885762,422.73700515
0.13035122,422.60423397
0.13186214,422.47452216
0.13339057,422.34765173
0.13493671,422.22342749
0.13650078,422.10167389
0.13808298,421.98223239
0.13968351,421.86495930
0.14130260,421.74972393
0.14294045,421.63640702
0.14459729,421.52489944
0.14627334,421.41510102
0.14796881,421.30691961
0.14968393,421.20027019
0.15141893,421.09507413
0.15317405,420.99125860
0.15494950,420.88875597
0.15674554,420.78750330
0.15856240,420.68744193
0.16040031,420.58851710
0.16225953,420.49067758
0.16414030,420.39387538
0.16604287,420.29806546
0.16796749,420.20320554
0.16991442,420.10925580
0.17188391,420.01617874
0.17387624,419.92393899
0.17589166,419.83250315
0.17793044,419.74183962
0.17999285,419.65191851
0.18207917,419.56271147
0.18418967,419.47419165
0.18632463,419.38633351
0.18848434,419.29911282
0.19066908,419.21250649
0.19287915,419.12649257
0.19511483,419.04105013
0.19737643,418.95615922
0.19966425,418.87180078
0.20197858,418.78795664
0.20431973,418.70460939
0.20668802,418.62174241
0.20908377,418.53933978
0.21150728,418.45738627
0.21395889,418.37586725
0.21643891,418.29476872
0.21894768,418.21407724
0.22148552,418.13377990
0.22405279,418.05386430
0.22664981,417.97431854
0.22927693,417.89513114
0.23193451,417.81629109
0.23462288,417.73778778
0.23734243,417.65961099
0.24009349,417.58175087
0.24287644,417.50419793
0.24569165,417.42694302
0.24853949,417.34997730
0.25142033,417.27329227
0.25433458,417.19687968
0.25728260,417.12073160
0.26026479,417.04484033
0.26328155,416.96919847
0.26633327,416.89379883
0.26942037,416.81863447
0.27254325,416.74369867
0.27570233,416.66898493
0.27889803,416.59448695
