t_s,Tf_K
0.10000000,388.23709725
0.10139254,388.08808381
0.10280447,388.03657477
0.10423607,387.99833024
0.10568760,387.96667538
0.10715934,387.93910686
0.10865158,387.91436949
0.11016459,387.89173086
0.11169868,387.87072090
0.11325413,387.85101732
0.11483124,387.83238820
0.11643031,387.81466026
0.11805165,387.79770018
0.11969557,387.78140286
0.12136238,387.76568380
0.12305240,387.75047387
0.12476596,387.73571573
0.12650337,387.72136118
0.12826498,387.70736931
0.13005113,387.69370500
0.13186214,387.68033790
0.13369837,387.66724154
0.13556018,387.65439268
0.13744791,387.64177082
0.13936193,387.62935772
0.14130260,387.61713712
0.14327030,387.60509441
0.14526539,387.59321645
0.14728827,387.58149132
0.14933932,387.56990822
0.15141893,387.55845729
0.15352750,387.54712952
0.15566544,387.53591666
0.15783314,387.52481110
0.16003103,387.51380582
0.16225953,387.50289435
0.16451906,387.49207068
0.16681005,387.48132922
0.16913295,387.47066477
0.17148820,387.46007249
0.17387624,387.44954784
0.17629754,387.43908657
0.17875255,387.42868470
0.18124175,387.41833850
0.18376562,387.40804443
0.18632463,387.39779917
0.18891928,387.38759958
0.19155006,387.37744271
0.19421747,387.36732574
0.19692203,387.35724601
0.19966425,387.34720100
0.20244465,387.33718830
0.20526378,387.32720563
0.20812216,387.31725081
0.21102034,387.30732177
0.21395889,387.29741652
0.21693835,387.28753317
0.21995931,387.27766991
0.22302233,387.26782501
0.22612801,387.25799679
0.22927693,387.24818367
0.23246971,387.23838411
0.23570694,387.22859665
0.23898926,387.21881986
0.24231728,387.20905238
0.24569165,387.19929291
0.24911300,387.18954017
0.25258200,387.17979294
0.25609931,387.17005005
0.25966560,387.16031035
0.26328155,387.15057275
0.26694785,387.14083617
0.27066521,387.13109959
0.27443433,387.12136201
0.27825594,387.11162245
0.28213077,387.10187998
0.28605955,387.09213368
0.29004305,387.08238267
0.29408202,387.07262608
0.29817723,387.06286308
0.30232947,387.05309285
0.30653953,387.04331461
0.31080822,387.03352757
0.31513635,387.02373099
0.31952475,387.01392413
0.32397426,387.00410627
0.32848574,386.99427672
0.33306003,386.98443480
0.33769803,386.97457983
0.34240061,386.96471117
0.34716868,386.95482819
0.35200315,386.94493025
0.35690493,386.93501675
0.36187498,386.92508710
0.36691424,386.91514070
0.37202367,386.90517700
0.37720425,386.89519542
0.38245697,386.88519542
0.38778284,386.87517646
0.39318288,386.86513800
0.39865811,386.85507954
0.40420958,386.84500056
0.40983837,386.83490056
0.41554553,386.82477904
0.42133217,386.81463553
0.42719940,386.80446954
0.43314832,386.79428062
0.43918009,386.78406829
0.44529585,386.77383212
0.45149678,386.76357164
0.45778405,386.75328643
0.46415888,386.74297605
0.47062248,386.73264007
0.47717609,386.72227807
0.48382097,386.71188965
0.49055837,386.70147438
0.49738960,386.69103188
0.50431595,386.68056174
0.51133875,386.67006357
0.51845935,386.65953698
0.52567911,386.64898160
0.53299941,386.63839703
0.54042164,386.62778293
0.54794723,386.61713890
0.55557762,386.60646460
0.56331427,386.59575965
0.57115865,386.58502372
0.57911226,386.57425643
0.58717664,386.56345746
0.59535331,386.55262645
0.60364385,386.54176306
0.61204984,386.53086696
0.62057288,386.51993781
0.62921461,386.50897529
0.63797668,386.49797907
0.64686077,386.48694883
0.65586857,386.47588424
0.66500180,386.46478500
0.67426222,386.45365078
0.68365160,386.44248127
0.69317173,386.43127617
0.70282443,386.42003518
0.71261154,386.40875798
0.72253495,386.39744429
0.73259654,386.38609380
0.74279825,386.37470621
0.75314202,386.36328125
0.76362983,386.35181861
0.77426368,386.34031800
0.78504562,386.32877915
0.79597770,386.31720177
0.80706201,386.30558559
0.81830068,386.29393031
0.82969585,386.28223567
0.84124970,386.27050138
0.85296445,386.25872719
0.86484233,386.24691281
0.87688561,386.23505799
0.88909660,386.22316244
0.90147763,386.21122592
0.91403107,386.19924815
0.92675933,386.18722887
0.93966483,386.17516784
0.95275005,386.16306478
0.96601748,386.15091944
0.97946967,386.13873157
0.99310918,386.12650092
1.00693863,386.11422723
1.02096066,386.10191027
1.03517796,386.08954977
1.04959323,386.07714549
1.06420924,386.06469720
1.07902879,386.05220464
1.09405471,386.03966758
1.10928986,386.02708578
1.12473718,386.01445899
1.14039960,386.00178698
1.15628013,385.98906952
1.17238180,385.97630637
1.18870770,385.96349730
1.20526094,385.95064208
1.22204469,385.93774047
1.23906216,385.92479226
1.25631660,385.91179720
1.27381132,385.89875508
1.29154967,385.88566568
1.30953502,385.87252876
1.32777083,385.85934410
1.34626058,385.84611149
1.36500781,385.83283071
1.38401610,385.81950153
1.40328908,385.80612375
1.42283046,385.79269713
1.44264395,385.77922148
1.46273336,385.76569657
1.48310251,385.75212219
1.50375532,385.73849814
1.52469573,385.72482420
1.54592774,385.71110016
1.56745541,385.69732581
1.58928287,385.68350096
1.61141428,385.66962538
1.63385388,385.65569889
1.65660596,385.64172127
1.67967487,385.62769233
1.70306503,385.61361185
1.72678090,385.59947965
1.75082703,385.58529552
1.77520801,385.57105927
1.79992851,385.55677070
1.82499324,385.54242961
1.85040702,385.52803581
1.87617469,385.51358910
1.90230119,385.49908930
1.92879151,385.48453620
1.95565072,385.46992963
1.98288395,385.45526939
2.01049642,385.44055529
2.03849340,385.42578715
2.06688025,385.41096477
2.09566240,385.39608798
2.12484535,385.38115659
2.15443469,385.36617042
2.18443607,385.35112928
2.21485523,385.33603300
2.24569800,385.32088138
2.27697026,385.30567427
2.30867799,385.29041146
2.34082728,385.27509280
2.37342425,385.25971810
2.40647515,385.24428719
2.43998630,385.22879989
2.47396410,385.21325602
2.50841506,385.19765543
2.54334576,385.18199793
2.57876289,385.16628336
2.61467321,385.15051155
2.65108360,385.13468232
2.68800102,385.11879552
2.72543253,385.10285097
2.76338529,385.08684851
2.80186656,385.07078798
2.84088369,385.05466920
2.88044415,385.03849203
2.92055551,385.02225629
2.96122544,385.00596183
3.00246171,384.98960849
3.04427221,384.97319610
3.08666494,384.95672452
3.12964801,384.94019358
3.17322963,384.92360313
3.21741815,384.90695302
3.26222201,384.89024308
3.30764978,384.87347317
3.35371015,384.85664314
3.40041193,384.83975282
3.44776405,384.82280209
3.49577557,384.80579078
3.54445567,384.78871874
3.59381366,384.77158583
3.64385898,384.75439191
3.69460121,384.73713682
3.74605003,384.71982043
3.79821531,384.70244258
3.85110700,384.68500315
3.90473524,384.66750198
3.95911027,384.64993893
4.01424249,384.63231387
4.07014245,384.61462665
4.12682085,384.59687714
4.18428851,384.57906521
4.24255643,384.56119071
4.30163576,384.54325350
4.36153779,384.52525347
4.42227398,384.50719047
4.48385595,384.48906436
4.54629547,384.47087503
4.60960449,384.45262233
4.67379511,384.43430615
4.73887961,384.41592634
4.80487044,384.39748278
4.87178022,384.37897535
4.93962174,384.36040392
5.00840799,384.34176837
5.07815211,384.32306857
5.14886745,384.30430439
5.22056753,384.28547572
5.29326606,384.26658243
5.36697695,384.24762440
5.44171429,384.22860152
5.51749238,384.20951367
5.59432571,384.19036072
5.67222897,384.17114256
5.75121707,384.15185908
5.83130511,384.13251016
5.91250841,384.11309568
5.99484250,384.09361554
6.07832313,384.07406962
6.16296626,384.05445781
6.24878807,384.03477999
6.33580499,384.01503607
6.42403366,383.99522593
6.51349095,383.97534946
6.60419396,383.95540655
6.69616005,383.93539711
6.78940681,383.91532103
6.88395207,383.89517820
6.97981391,383.87496851
7.07701066,383.85469187
7.17556092,383.83434818
7.27548353,383.81393734
7.37679760,383.79345924
7.47952252,383.77291379
7.58367791,383.75230088
7.68928372,383.73162044
7.79636013,383.71087235
7.90492762,383.69005652
8.01500696,383.66917286
8.12661920,383.64822129
8.23978568,383.62720169
8.35452806,383.60611399
8.47086827,383.58495809
8.58882856,383.56373391
8.70843150,383.54244136
8.82969996,383.52108035
8.95265713,383.49965079
9.07732653,383.47815260
