t_s,Tf_K
0.10000000,385.62474955
0.10115911,385.80939307
0.10233166,385.87363420
0.10351780,385.92121259
0.10471768,385.96050602
0.10593148,385.99465449
0.10715934,386.02523228
0.10840144,386.05315810
0.10965793,386.07902170
0.11092899,386.10322751
0.11221478,386.12606666
0.11351547,386.14775667
0.11483124,386.16846498
0.11616226,386.18832359
0.11750871,386.20743866
0.11887077,386.22589703
0.12024861,386.24377076
0.12164243,386.26112041
0.12305240,386.27799740
0.12447871,386.29444584
0.12592156,386.31050389
0.12738113,386.32620478
0.12885762,386.34157770
0.13035122,386.35664842
0.13186214,386.37143981
0.13339057,386.38597229
0.13493671,386.40026417
0.13650078,386.41433195
0.13808298,386.42819054
0.13968351,386.44185348
0.14130260,386.45533310
0.14294045,386.46864067
0.14459729,386.48178650
0.14627334,386.49478008
0.14796881,386.50763016
0.14968393,386.52034481
0.15141893,386.53293151
0.15317405,386.54539719
0.15494950,386.55774830
0.15674554,386.56999085
0.15856240,386.58213044
0.16040031,386.59417232
0.16225953,386.60612140
0.16414030,386.61798227
0.16604287,386.62975927
0.16796749,386.64145647
0.16991442,386.65307769
0.17188391,386.66462655
0.17387624,386.67610648
0.17589166,386.68752069
0.17793044,386.69887224
0.17999285,386.71016403
0.18207917,386.72139881
0.18418967,386.73257918
0.18632463,386.74370763
0.18848434,386.75478651
0.19066908,386.76581808
0.19287915,386.77680446
0.19511483,386.78774771
0.19737643,386.79864978
0.19966425,386.80951252
0.20197858,386.82033772
0.20431973,386.83112708
0.20668802,386.84188222
0.20908377,386.85260472
0.21150728,386.86329606
0.21395889,386.87395769
0.21643891,386.88459098
0.21894768,386.89519724
0.22148552,386.90577776
0.22405279,386.91633375
0.22664981,386.92686638
0.22927693,386.93737679
0.23193451,386.94786606
0.23462288,386.95833523
0.23734243,386.96878532
0.24009349,386.97921729
0.24287644,386.98963208
0.24569165,387.00003060
0.24853949,387.01041370
0.25142033,387.02078224
0.25433458,387.03113701
0.25728260,387.04147881
0.26026479,387.05180838
0.26328155,387.06212647
0.26633327,387.07243376
0.26942037,387.08273094
0.27254325,387.09301867
0.27570233,387.10329759
0.27889803,387.11356831
0.28213077,387.12383141
0.28540098,387.13408749
0.28870909,387.14433709
0.29205555,387.15458074
0.29544080,387.16481898
0.29886529,387.17505229
0.30232947,387.18528117
0.30583380,387.19550609
0.30937876,387.20572750
0.31296480,387.21594584
0.31659241,387.22616153
0.32026207,387.23637498
0.32397426,387.24658660
0.32772948,387.25679677
0.33152823,387.26700585
0.33537102,387.27721421
0.33925834,387.28742218
0.34319072,387.29763011
0.34716868,387.30783832
0.35119275,387.31804712
0.35526347,387.32825681
0.35938137,387.33846768
0.36354700,387.34868001
0.36776091,387.35889406
0.37202367,387.36911010
0.37633584,387.37932838
0.38069799,387.38954913
0.38511070,387.39977259
0.38957456,387.40999898
0.39409016,387.42022850
0.39865811,387.43046137
0.40327900,387.44069777
0.40795345,387.45093790
0.41268208,387.46118193
0.41746553,387.47143003
0.42230442,387.48168236
0.42719940,387.49193908
0.43215111,387.50220034
0.43716022,387.51246626
0.44222740,387.52273698
0.44735331,387.53301263
0.45253863,387.54329332
0.45778405,387.55357915
0.46309028,387.56387024
0.46845801,387.57416667
0.47388796,387.58446853
0.47938085,387.59477590
0.48493741,387.60508886
0.49055837,387.61540747
0.49624449,387.62573178
0.50199651,387.63606187
0.50781521,387.64639776
0.51370135,387.65673950
0.51965572,387.66708712
0.52567911,387.67744066
0.53177232,387.68780012
0.53793615,387.69816553
0.54417143,387.70853689
0.55047898,387.71891421
0.55685964,387.72929747
0.56331427,387.73968667
0.56984371,387.75008180
0.57644883,387.76048282
0.58313051,387.77088970
0.58988964,387.78130242
0.59672712,387.79172092
0.60364385,387.80214517
0.61064075,387.81257511
0.61771876,387.82301067
0.62487881,387.83345179
0.63212185,387.84389839
0.63944884,387.85435041
0.64686077,387.86480775
0.65435860,387.87527033
0.66194335,387.88573804
0.66961601,387.89621079
0.67737760,387.90668847
0.68522916,387.91717095
0.69317173,387.92765813
0.70120636,387.93814987
0.70933412,387.94864604
0.71755609,387.95914651
0.72587337,387.96965112
0.73428704,387.98015972
0.74279825,387.99067217
0.75140811,388.00118829
0.76011776,388.01170792
0.76892837,388.02223087
0.77784111,388.03275698
0.78685715,388.04328605
0.79597770,388.05381788
0.80520397,388.06435228
0.81453718,388.07488904
0.82397857,388.08542795
0.83352940,388.09596879
0.84319093,388.10651133
0.85296445,388.11705534
0.86285126,388.12760059
0.87285266,388.13814683
0.88297000,388.14869381
0.89320460,388.15924127
0.90355783,388.16978895
0.91403107,388.18033657
0.92462571,388.19088388
0.93534315,388.20143057
0.94618482,388.21197637
0.95715215,388.22252097
0.96824661,388.23306407
0.97946967,388.24360537
0.99082281,388.25414455
1.00230755,388.26468128
1.01392541,388.27521525
1.02567793,388.28574610
1.03756668,388.29627350
1.04959323,388.30679711
1.06175918,388.31731655
1.07406615,388.32783148
1.08651577,388.33834152
1.09910970,388.34884629
1.11184960,388.35934542
1.12473718,388.36983850
1.13777413,388.38032515
1.15096220,388.39080495
1.16430313,388.40127750
1.17779870,388.41174238
1.19145070,388.42219916
1.20526094,388.43264740
1.21923125,388.44308667
1.23336350,388.45351652
1.24765955,388.46393650
1.26212131,388.47434613
1.27675070,388.48474496
1.29154967,388.49513251
1.30652016,388.50550828
1.32166418,388.51587180
1.33698374,388.52622255
1.35248087,388.53656004
1.36815763,388.54688374
1.38401610,388.55719315
1.40005838,388.56748771
1.41628662,388.57776691
1.43270295,388.58803020
1.44930957,388.59827701
1.46610868,388.60850680
1.48310251,388.61871900
1.50029332,388.62891302
1.51768339,388.63908829
1.53527503,388.64924422
1.55307057,388.65938020
1.57107239,388.66949563
1.58928287,388.67958989
1.60770442,388.68966236
1.62633950,388.69971242
1.64519059,388.70973942
1.66426018,388.71974271
1.68355080,388.72972164
1.70306503,388.73967556
1.72280545,388.74960378
1.74277468,388.75950563
1.76297538,388.76938042
1.78341022,388.77922747
1.80408193,388.78904606
1.82499324,388.79883548
1.84614695,388.80859502
1.86754584,388.81832395
1.88919278,388.82802154
1.91109062,388.83768703
1.93324229,388.84731969
1.95565072,388.85691874
1.97831888,388.86648343
2.00124980,388.87601297
2.02444651,388.88550659
2.04791210,388.89496349
2.07164968,388.90438287
2.09566240,388.91376392
2.11995346,388.92310583
2.14452608,388.93240777
2.16938352,388.94166891
2.19452909,388.95088841
2.21996612,388.96006542
2.24569800,388.96919908
2.27172813,388.97828854
2.29805999,388.98733291
2.32469706,388.99633131
2.35164288,389.00528287
2.37890104,389.01418667
2.40647515,389.02304182
2.43436887,389.03184741
2.46258592,389.04060251
2.49113003,389.04930620
2.52000499,389.05795754
2.54921465,389.06655559
2.57876289,389.07509939
2.60865362,389.08358799
2.63889081,389.09202043
2.66947849,389.10039573
2.70042072,389.10871290
2.73172160,389.11697096
2.76338529,389.12516892
2.79541600,389.13330577
2.82781798,389.14138050
2.86059554,389.14939210
2.89375302,389.15733953
2.92729484,389.16522178
2.96122544,389.17303779
2.99554933,389.18078653
3.03027108,389.18846695
3.06539530,389.19607798
3.10092664,389.20361856
3.13686982,389.21108762
3.17322963,389.21848408
3.21001090,389.22580686
3.24721849,389.23305486
3.28485737,389.24022700
3.32293252,389.24732217
3.36144900,389.25433927
3.40041193,389.26127717
3.43982649,389.26813476
3.47969790,389.27491091
3.52003147,389.28160451
3.56083255,389.28821440
3.60210656,389.29473945
3.64385898,389.30117852
3.68609536,389.30753046
3.72882131,389.31379411
3.77204249,389.31996831
3.81576466,389.32605190
3.85999362,389.33204372
3.90473524,389.33794259
3.94999546,389.34374735
3.99578030,389.34945680
4.04209584,389.35506977
4.08894823,389.36058507
4.13634368,389.36600152
4.18428851,389.37131792
4.23278907,389.37653309
4.28185180,389.38164582
4.33148322,389.38665492
4.38168993,389.39155918
4.43247859,389.39635741
4.48385595,389.40104841
4.53582883,389.40563095
4.58840413,389.41010385
4.64158883,389.41446588
4.69539001,389.41871585
4.74981480,389.42285255
4.80487044,389.42687476
4.86056423,389.43078127
4.91690358,389.43457089
4.97389596,389.43824239
5.03154895,389.44179457
5.08987019,389.44522623
5.14886745,389.44853616
5.20854855,389.45172315
5.26892142,389.45478600
5.32999408,389.45772352
5.39177464,389.46053450
5.45427131,389.46321775
5.51749238,389.46577208
5.58144625,389.46819630
5.64614142,389.47048921
5.71158648,389.47264965
5.77779012,389.47467643
5.84476113,389.47656837
5.91250841,389.47832431
5.98104096,389.47994309
6.05036788,389.48142354
6.12049837,389.48276452
6.19144176,389.48396487
6.26320745,389.48502345
6.33580499,389.48593913
6.40924402,389.48671078
6.48353429,389.48733728
6.55868566,389.48781752
6.63470812,389.48815038
6.71161177,389.48833478
6.78940681,389.48836963
6.86810359,389.48825383
6.94771255,389.48798634
7.02824426,389.48756607
7.10970943,389.48699198
7.19211887,389.48626303
7.27548353,389.48537819
7.35981448,389.48433644
7.44512291,389.48313677
7.53142017,389.48177817
7.61871770,389.48025967
7.70702711,389.47858030
7.79636013,389.47673909
7.88672862,389.47473508
7.97814457,389.47256736
8.07062014,389.47023500
8.16416760,389.46773709
8.25879939,389.46507273
8.35452806,389.46224106
8.45136633,389.45924121
8.54932707,389.45607232
8.64842328,389.45273357
