logA,H_star,x,beta,T0
-25.000000,158491.870796,0.020000,0.087602,400.000000
-23.708332,158491.871032,0.020000,0.116773,400.000000
-23.381029,158491.871074,0.020000,0.206103,400.000000
-23.377960,158491.871104,0.020000,0.213670,400.000000
-23.494807,158491.871057,0.020000,0.172050,400.000000
-23.184863,158491.871109,0.020000,0.163228,400.000000
-25.000000,158491.870546,0.020000,0.129292,400.000000
-23.356791,158491.871071,0.020000,0.198137,400.000000
-23.582096,158491.871140,0.020000,0.188899,400.000000
-25.000000,158491.870941,0.020000,0.101622,400.000000
-23.042388,158491.871173,0.020000,0.238013,400.000000
-24.907326,158491.870843,0.020000,0.091708,400.000000
-23.582768,158491.871054,0.020000,0.171816,400.000000
-19.832321,153116.924630,0.122079,0.447446,400.000000
-23.461388,158491.871145,0.020000,0.190195,400.000000
-19.987355,158491.871700,0.020000,0.715804,400.000000
-25.000000,158491.870515,0.020000,0.121945,400.000000
-20.528174,158491.871509,0.359691,0.050000,399.997382
-25.000000,158491.870346,0.020000,0.141899,400.000000
-23.644027,158491.871068,0.020000,0.149170,400.000000
-24.867549,158491.870869,0.020000,0.079556,400.000000
-23.813657,158491.871028,0.020000,0.150763,400.000000
-23.248710,158491.871162,0.020000,0.223815,400.000000
-16.699610,158494.608247,0.020000,0.225073,370.000000
-25.000000,158491.870617,0.020000,0.100524,400.000000
-24.034401,158491.871038,0.020000,0.050000,400.000000
-25.000000,158491.870794,0.020000,0.107781,400.000000
-23.382179,158491.871095,0.020000,0.196663,400.000000
-25.000000,158491.870455,0.020000,0.136356,400.000000
-25.000000,158491.870801,0.020000,0.104973,400.000000
-25.000000,158491.870766,0.020000,0.115244,400.000000
-24.079630,158491.870975,0.020000,0.107006,400.000000
-23.197594,158491.871104,0.020000,0.210418,400.000000
-23.069647,158491.871149,0.020000,0.266135,400.000000
-24.850725,158491.870440,0.020000,0.140247,400.000000
-24.116878,158491.870968,0.020000,0.131706,400.000000
-23.212495,158491.871249,0.020000,0.244057,400.000000
-24.407110,158491.870703,0.020000,0.161561,400.000000
-23.498473,158491.871075,0.020000,0.173843,400.000000
-25.000000,158491.870539,0.020000,0.136973,400.000000
-23.488936,158491.871086,0.020000,0.173483,400.000000
-23.607009,158491.871067,0.020000,0.169192,400.000000
-23.864386,158491.871043,0.020000,0.140805,400.000000
-24.579410,158491.870897,0.020000,0.087490,400.000000
-25.000000,158491.870727,0.020000,0.095203,400.000000
-23.622447,158491.871066,0.020000,0.167397,400.000000
-23.691998,158491.871042,0.020000,0.143300,400.000000
-23.186767,158491.871105,0.020000,0.220485,400.000000
-23.310142,158491.871292,0.020000,0.218640,400.000000
-24.608141,158491.870876,0.020000,0.102670,400.000000
-22.987585,158491.871145,0.020000,0.172768,400.000000
-25.000000,158491.870819,0.020000,0.118834,400.000000
-23.444901,158491.871072,0.020000,0.187376,400.000000
-23.552297,158491.871070,0.020000,0.180323,400.000000
-25.000000,158491.870819,0.020000,0.116543,400.000000
-25.000000,158491.870395,0.020000,0.137759,400.000000
-25.000000,158491.870779,0.020000,0.109124,400.000000
-25.000000,158491.870398,0.020000,0.130521,400.000000
-23.352021,158491.871224,0.020000,0.205499,400.000000
-25.000000,158491.870657,0.020000,0.079854,400.000000
-25.000000,158491.870870,0.020000,0.105587,400.000000
-25.000000,158491.870220,0.020000,0.136594,400.000000
-25.000000,158491.870824,0.020000,0.082233,400.000000
-25.000000,158491.870561,0.020000,0.134004,400.000000
-25.000000,158491.870902,0.020000,0.092291,400.000000
-20.814304,158491.871439,0.148127,0.395237,400.000000
-23.866410,158491.871011,0.020000,0.143716,400.000000
-23.651678,158491.871092,0.020000,0.174069,400.000000
-22.747601,158491.792864,0.464959,0.900000,370.000000
-18.028531,158491.872138,0.020000,0.143198,399.859544
-25.000000,158491.870384,0.020000,0.128024,400.000000
-23.133390,158491.871129,0.020000,0.193772,400.000000
-25.000000,158491.870221,0.020000,0.134103,400.000000
-23.464062,158491.871113,0.020000,0.188551,400.000000
-22.266283,158491.871260,0.450942,0.050000,399.995845
-25.000000,158491.870679,0.020000,0.085801,400.000000
-23.097887,158491.871112,0.020000,0.193471,400.000000
-23.955559,158491.871092,0.020000,0.137181,400.000000
-22.786680,158491.870548,0.020000,0.162426,400.000000
-25.000000,158491.870801,0.020000,0.073982,400.000000
-23.497393,158491.871071,0.020000,0.177131,400.000000
-25.000000,158491.870745,0.020000,0.093020,400.000000
-25.000000,158491.870903,0.020000,0.112011,400.000000
