t_s,group,exp_Jg,kww_Jg,tnm_Jg
0.1002,50s,0.0,0.1816543406108491,0.5834275565357009
0.4998,50s,0.1901,0.28965111899940243,0.5843780632221406
0.798,50s,0.3168,0.3315582319293235,0.585081265218612
1.0002,50s,0.5387,0.35362387098522546,0.5855564478715809
4.998,50s,0.6792,0.5579811994025144,0.5948386861477132
10.02,50s,0.9194,0.6767907636392452,0.6063625671141194
49.98,50s,0.9732,1.0428651738873291,0.6960176611331891
100.02,50s,1.0769,1.2474181341457735,0.8051473400387176
499.98,50s,1.5641,1.8432854300173918,1.592261251138317
1000.02,50s,2.4137,2.150826746147293,2.4085566994671646
0.1002,500s,3.5583,3.709563541815485,3.7030717893731495
0.4998,500s,3.5975,3.710400573920623,3.703495051002827
0.798,500s,3.6143,3.711024137885321,3.7038081918008134
1.0002,500s,3.8214,3.711446413312638,3.7040197960065124
4.998,500s,3.8507,3.7197101535080654,3.7081536094585235
10.02,500s,3.8606,3.729865817074117,3.7132865994596047
49.98,500s,3.8379,3.8027937579407167,3.7532539393113287
100.02,500s,3.8382,3.8784136892107286,3.801982340419084
499.98,500s,4.1785,4.200255579375871,4.156123561772273
1000.02,500s,4.3824,4.3635317226835415,4.528708393675515
