ramp,T1_hold_min,T2_hold_min,delta_H_Jg,integral_uWC
1,0.833000,0.001670,76.092793,-59606.021129
2,0.833000,0.008330,76.089373,-59603.342463
3,0.833000,0.013300,75.976918,-59515.252773
4,0.833000,0.016670,75.760026,-59345.353532
5,0.833000,0.083300,75.628574,-59242.382694
6,0.833000,0.167000,75.412540,-59073.155942
7,0.833000,0.833000,75.341637,-59017.616029
8,0.833000,1.667000,75.227609,-58928.293791
9,0.833000,8.333000,75.125908,-58848.628313
10,0.833000,16.667000,75.035295,-58777.647924
11,8.333000,0.001670,74.845699,-58629.130572
12,8.333000,0.008330,74.804481,-58596.843692
13,8.333000,0.013300,74.793792,-58588.470042
14,8.333000,0.016670,74.749347,-58553.655092
15,8.333000,0.083300,74.712325,-58524.654663
16,8.333000,0.167000,74.702694,-58517.110569
17,8.333000,0.833000,74.713104,-58525.265091
18,8.333000,1.667000,74.705381,-58519.214745
19,8.333000,8.333000,74.674706,-58495.186695
20,8.333000,16.667000,74.626051,-58457.073528
