ramp,T1_hold_min,T2_hold_min,delta_H_Jg,cp_avg_JgK,cp_at_50C,cp_at_80C,cp_at_100C
1,0.833000,0.001670,84.828425,1.211835,1.145376,1.277682,1.490637
2,0.833000,0.008330,84.822472,1.211750,1.146075,1.276462,1.488734
3,0.833000,0.013300,84.700435,1.210006,1.144485,1.274646,1.487625
4,0.833000,0.016670,84.458491,1.206550,1.141009,1.272069,1.484660
5,0.833000,0.083300,84.304532,1.204350,1.139451,1.268832,1.481175
6,0.833000,0.167000,84.065214,1.200932,1.135892,1.265503,1.477349
7,0.833000,0.833000,84.014847,1.200212,1.134158,1.264560,1.478820
8,0.833000,1.667000,83.901975,1.198600,1.131943,1.263255,1.478319
9,0.833000,8.333000,83.858457,1.197978,1.128856,1.262581,1.493671
10,0.833000,16.667000,83.814924,1.197356,1.127477,1.260288,1.509261
11,8.333000,0.001670,83.519655,1.193138,1.126919,1.256603,1.495318
12,8.333000,0.008330,83.478181,1.192545,1.126497,1.255979,1.495380
13,8.333000,0.013300,83.461697,1.192310,1.126191,1.255528,1.494493
14,8.333000,0.016670,83.415566,1.191651,1.125330,1.255073,1.495439
15,8.333000,0.083300,83.375519,1.191079,1.124626,1.254854,1.495716
16,8.333000,0.167000,83.358679,1.190838,1.124350,1.254591,1.495782
17,8.333000,0.833000,83.389160,1.191274,1.124198,1.254843,1.497802
18,8.333000,1.667000,83.382584,1.191180,1.123519,1.255240,1.498913
19,8.333000,8.333000,83.363636,1.190909,1.122953,1.254389,1.503111
20,8.333000,16.667000,83.324143,1.190345,1.122324,1.254225,1.505698
